size	stride	elapsed(s)	cycles
4096	1	0.001006	1006
4096	2	0.000930	929
4096	4	0.000913	913
4096	8	0.000906	906
4096	16	0.000909	910
4096	32	0.000912	913
4096	64	0.000857	857
4096	128	0.000801	801
4096	256	0.000831	830
4096	512	0.000814	814
4096	1024	0.000764	764
4096	2048	0.000763	762
8192	1	0.001900	1900
8192	2	0.001853	1854
8192	4	0.001852	1853
8192	8	0.001783	1783
8192	16	0.001774	1774
8192	32	0.001768	1767
8192	64	0.001754	1754
8192	128	0.001637	1637
8192	256	0.001604	1604
8192	512	0.001616	1617
8192	1024	0.001567	1567
8192	2048	0.001622	1622
8192	4096	0.001664	1664
16384	1	0.003747	3747
16384	2	0.003741	3741
16384	4	0.003636	3636
16384	8	0.003525	3525
16384	16	0.003595	3595
16384	32	0.003540	3540
16384	64	0.003543	3543
16384	128	0.003525	3524
16384	256	0.003271	3271
16384	512	0.003204	3204
16384	1024	0.003180	3179
16384	2048	0.003349	3348
16384	4096	0.003475	3475
16384	8192	0.003332	3332
32768	1	0.007182	7183
32768	2	0.007127	7127
32768	4	0.007089	7089
32768	8	0.006962	6962
32768	16	0.006919	6919
32768	32	0.006650	6650
32768	64	0.007187	7186
32768	128	0.006992	6991
32768	256	0.007013	7013
32768	512	0.006541	6541
32768	1024	0.006409	6408
32768	2048	0.006546	6546
32768	4096	0.007047	7048
32768	8192	0.006945	6946
32768	16384	0.006635	6635
65536	1	0.012772	12772
65536	2	0.012304	12304
65536	4	0.014218	14218
65536	8	0.014846	14845
65536	16	0.014675	14675
65536	32	0.014396	14396
65536	64	0.012349	12348
65536	128	0.012298	12299
65536	256	0.012406	12405
65536	512	0.012592	12593
65536	1024	0.012248	12248
65536	2048	0.014410	14409
65536	4096	0.045468	45468
65536	8192	0.014452	14453
65536	16384	0.014241	14242
65536	32768	0.013635	13635
131072	1	0.026044	26044
131072	2	0.024911	24911
131072	4	0.028402	28402
131072	8	0.029347	29347
131072	16	0.029134	29134
131072	32	0.028251	28251
131072	64	0.025233	25234
131072	128	0.026657	26657
131072	256	0.027799	27799
131072	512	0.028858	28858
131072	1024	0.030704	30704
131072	2048	0.084863	84863
131072	4096	0.126255	126255
131072	8192	0.092303	92304
131072	16384	0.028894	28895
131072	32768	0.028472	28472
131072	65536	0.027250	27249
262144	1	0.052096	52096
262144	2	0.049797	49797
262144	4	0.057023	57023
262144	8	0.058491	58492
262144	16	0.057971	57971
262144	32	0.056265	56265
262144	64	0.051660	51660
262144	128	0.057652	57652
262144	256	0.063278	63278
262144	512	0.064678	64678
262144	1024	0.066665	66665
262144	2048	0.154098	154097
262144	4096	0.229075	229076
262144	8192	0.255639	255639
262144	16384	0.132457	132456
262144	32768	0.057807	57807
262144	65536	0.056943	56942
262144	131072	0.054496	54496
524288	1	0.104346	104346
524288	2	0.099640	99640
524288	4	0.114448	114447
524288	8	0.116551	116552
524288	16	0.115354	115354
524288	32	0.110614	110614
524288	64	0.110782	110782
524288	128	0.134911	134910
524288	256	0.161074	161074
524288	512	0.167718	167718
524288	1024	0.172513	172513
524288	2048	0.164749	164748
524288	4096	0.466985	466985
524288	8192	0.488126	488127
524288	16384	0.543807	543807
524288	32768	0.335821	335821
524288	65536	0.122700	122700
524288	131072	0.113935	113935
524288	262144	0.108873	108873
1048576	1	0.208554	208554
1048576	2	0.199029	199029
1048576	4	0.229283	229283
1048576	8	0.232925	232925
1048576	16	0.230360	230360
1048576	32	0.220702	220702
1048576	64	0.221835	221835
1048576	128	0.274643	274643
1048576	256	0.338962	338962
1048576	512	0.356447	356447
1048576	1024	0.365918	365918
1048576	2048	0.331441	331441
1048576	4096	0.932046	932046
1048576	8192	0.933447	933447
1048576	16384	0.918929	918930
1048576	32768	0.929387	929387
1048576	65536	0.922140	922140
1048576	131072	0.245403	245404
1048576	262144	0.227806	227806
1048576	524288	0.217701	217701
2097152	1	0.417038	417038
2097152	2	0.397845	397845
2097152	4	0.457390	457390
2097152	8	0.465244	465244
2097152	16	0.459910	459910
2097152	32	0.441012	441012
2097152	64	0.442635	442634
2097152	128	0.549725	549725
2097152	256	0.682015	682015
2097152	512	0.716932	716933
2097152	1024	0.735221	735220
2097152	2048	0.659134	659134
2097152	4096	1.891413	1891413
2097152	8192	1.883770	1883770
2097152	16384	1.913050	1913050
2097152	32768	1.899062	1899062
2097152	65536	1.904255	1904255
2097152	131072	1.878653	1878653
2097152	262144	0.490814	490814
2097152	524288	0.455565	455566
2097152	1048576	0.435479	435478
4194304	1	0.834256	834256
4194304	2	0.797531	797530
4194304	4	0.915017	915017
4194304	8	0.933098	933098
4194304	16	0.922438	922438
4194304	32	0.887364	887364
4194304	64	0.905267	905266
4194304	128	1.109962	1109962
4194304	256	1.380459	1380458
4194304	512	1.537867	1537867
4194304	1024	1.601954	1601954
4194304	2048	1.430547	1430547
4194304	4096	3.723922	3723922
4194304	8192	3.696877	3696877
4194304	16384	3.821260	3821260
4194304	32768	3.749820	3749820
4194304	65536	3.690779	3690779
4194304	131072	4.362348	4362348
4194304	262144	2.942944	2942944
4194304	524288	0.982111	982111
4194304	1048576	0.911167	911167
4194304	2097152	0.871782	871782
